volume,volatility,time
8.257261411,19.31343162,800
8.273858921,19.16542682,801
8.278008299,19.02845218,802
8.282157676,18.85971945,803
8.282157676,18.68181381,804
8.290456432,18.48993523,805
8.286307054,18.27716891,806
8.319502075,18.04743243,807
8.323651452,17.79991434,808
8.348547718,17.53658544,809
8.385892116,17.26060833,810
8.377593361,16.98240154,811
8.369294606,16.69242837,812
8.394190871,16.38427212,813
8.419087137,16.07629763,814
8.456431535,15.74635652,815
8.460580913,15.38466226,816
8.485477178,15.02366533,817
8.531120332,14.64640478,818
8.547717842,14.25279076,819
8.547717842,13.85791475,820
8.589211618,13.45939781,821
8.597510373,13.05708875,822
8.609958506,12.6428078,823
8.622406639,12.19028616,824
8.630705394,11.72803836,825
8.639004149,11.24093016,826
8.643153527,10.72599789,827
8.643153527,10.16573458,828
8.647302905,9.569439356,829
8.647302905,8.922570864,830
8.651452282,8.929467437,831
8.647302905,8.968695888,832
8.639004149,8.964438342,833
8.647302905,8.975651926,834
8.668049793,8.9723621,835
8.684647303,8.932409641,836
8.697095436,8.88593817,837
8.697095436,8.864471576,838
8.709543568,8.814282235,839
8.730290456,8.750791183,840
8.771784232,8.692872563,841
8.796680498,8.683202824,842
8.817427386,8.701964098,843
8.842323651,8.713993516,844
8.875518672,8.700684197,845
8.89626556,8.698757028,846
8.921161826,8.681239302,847
8.975103734,8.702285211,848
9.024896266,8.736306396,849
9.053941909,8.773073065,850
9.078838174,8.804749588,851
9.10373444,8.851696054,852
9.116182573,8.876178832,853
9.153526971,8.881994045,854
9.153526971,8.859440817,855
9.157676349,8.835353793,856
9.157676349,8.813188696,857
9.165975104,8.800809669,858
9.174273859,8.781758378,859
9.178423237,8.753357427,860
9.157676349,8.727762898,861
9.141078838,8.733043482,862
9.190871369,8.753311354,863
9.165975104,8.772475324,864
9.157676349,8.790191124,865
9.145228216,8.806235319,866
9.149377593,8.827976775,867
9.174273859,8.847961249,868
9.228215768,8.883676946,869
9.294605809,8.918882245,870
9.348547718,8.942809057,871
9.365145228,8.959362521,872
9.373443983,8.980132581,873
9.34439834,9.002540376,874
9.348547718,9.024006932,875
9.331950207,9.036605365,876
9.348547718,9.053299854,877
9.323651452,9.07305722,878
9.319502075,9.092652097,879
9.31120332,9.117456631,880
9.294605809,9.141210276,881
9.290456432,9.15740975,882
9.298755187,9.168590484,883
9.282157676,9.177276852,884
9.286307054,9.190534786,885
9.282157676,9.208142169,886
9.278008299,9.224828327,887
9.248962656,9.241134676,888
9.2406639,9.255280684,889
9.232365145,9.268232553,890
9.232365145,9.275045102,891
9.228215768,9.275968599,892
9.228215768,9.276079179,893
9.261410788,9.276054746,894
9.273858921,9.272487472,895
9.273858921,9.272411042,896
9.253112033,9.268533898,897
9.253112033,9.261371118,898
9.257261411,9.245592298,899
9.273858921,9.224206316,900
9.294605809,9.200110445,901
9.294605809,9.164811177,902
9.302904564,9.121493664,903
9.32780083,9.074924412,904
9.32780083,9.021315333,905
9.319502075,8.972040877,906
9.307053942,8.921078394,907
9.294605809,8.87326484,908
9.302904564,8.821444806,909
9.2406639,8.771373512,910
9.269709544,8.716460983,911
9.269709544,8.6514645,912
9.219917012,8.578671318,913
9.124481328,8.5023154,914
9.074688797,8.431625904,915
8.829875519,8.359916599,916
8.746887967,8.28233744,917
8.734439834,8.207221893,918
8.726141079,8.130937266,919
8.680497925,8.066555592,920
8.634854772,8.013607105,921
8.630705394,7.960603528,922
8.609958506,7.904229472,923
8.589211618,7.851108446,924
8.589211618,7.800482056,925
8.560165975,7.748501575,926
8.543568465,7.696214588,927
8.589211618,7.656770488,928
8.593360996,7.619562102,929
8.589211618,7.591004714,930
8.593360996,7.561388769,931
8.576763485,7.532159706,932
8.597510373,7.496813126,933
8.597510373,7.452844609,934
8.601659751,7.40982168,935
8.634854772,7.374630996,936
8.663900415,7.34189432,937
8.709543568,7.306187693,938
8.701244813,7.273742674,939
8.67219917,7.247884168,940
8.676348548,7.225093425,941
8.643153527,7.210705176,942
8.580912863,7.210438833,943
8.543568465,7.223793209,944
8.53526971,7.237170991,945
8.489626556,7.23870362,946
8.502074689,7.232349088,947
8.560165975,7.220901681,948
8.622406639,7.201833722,949
8.647302905,7.178649381,950
8.659751037,7.153523314,951
8.410788382,7.143645568,952
8.319502075,7.114795745,953
8.294605809,7.085633704,954
8.331950207,7.063270583,955
8.261410788,7.029925201,956
8.265560166,6.996111204,957
8.443983402,6.958103381,958
8.556016598,6.913811438,959
8.605809129,6.865846237,960
8.767634855,6.810244631,961
8.784232365,6.752787499,962
8.7593361,6.707288471,963
8.763485477,6.663304047,964
8.721991701,6.627598198,965
8.730290456,6.59949151,966
8.676348548,6.57596472,967
8.680497925,6.551559216,968
8.630705394,6.517704244,969
8.601659751,6.490045529,970
8.601659751,6.458682844,971
8.543568465,6.422806378,972
8.514522822,6.373633015,973
8.510373444,6.313962596,974
8.46473029,6.256163574,975
8.44813278,6.193263561,976
8.410788382,6.128711186,977
8.506224066,6.078793568,978
8.589211618,6.025709709,979
8.639004149,5.984109847,980
8.751037344,5.95096921,981
8.834024896,5.911610404,982
8.850622407,5.885134934,983
8.821576763,5.881955038,984
8.79253112,5.886709805,985
9.037344398,5.885393678,986
9.149377593,5.874717309,987
9.294605809,5.861966882,988
9.423236515,5.862215806,989
9.547717842,5.863104717,990
9.730290456,5.889082526,991
9.838174274,5.940126527,992
9.846473029,6.00046001,993
9.867219917,6.064692074,994
9.887966805,6.124290117,995
9.883817427,6.18798179,996
10.15352697,6.264831607,997
10.17012448,6.319779481,998
10.21576763,6.356948803,999
