,datetime,code,open,volume,amt,open_interest,index_time,index,window,window-future,index-future
12013,2020/2/27 9:43,IF2006.CFE,4088.6,140,171739920,28714.12712,2020/2/27 9:43,4093.51,4092.815,-8.058,4.91
12014,2020/2/27 9:44,IF2006.CFE,4091.2,188,230795940,28675.80172,2020/2/27 9:44,4097.79,4095.65,-5.786,6.59
12015,2020/2/27 9:45,IF2006.CFE,4089.4,95,116499600,28656.57895,2020/2/27 9:45,4102.49,4100.14,-9.26,13.09
12016,2020/2/27 9:46,IF2006.CFE,4090,65,79760780,28639.22018,2020/2/27 9:46,4099.02,4100.755,-9.68,9.02
12017,2020/2/27 9:47,IF2006.CFE,4090.4,56,68682840,28633.48544,2020/2/27 9:47,4100.49,4099.755,-9.5,10.09
12018,2020/2/27 9:48,IF2006.CFE,4088,39,47845920,28623.09091,2020/2/27 9:48,4098.61,4099.55,-11.95,10.61
12019,2020/2/27 9:49,IF2006.CFE,4089.6,76,93323940,28590.56881,2020/2/27 9:49,4098.89,4098.75,-11.742,9.29
12020,2020/2/27 9:50,IF2006.CFE,4094.6,43,52813080,28547.5,2020/2/27 9:50,4102.74,4100.815,-8.204,8.14
12021,2020/2/27 9:51,IF2006.CFE,4092.8,34,41753100,28527.43158,2020/2/27 9:51,4105.98,4104.36,-11.198,13.18
12022,2020/2/27 9:52,IF2006.CFE,4093.8,77,94488000,28511.67544,2020/2/27 9:52,4107.8,4106.89,-10.624,14
12023,2020/2/27 9:53,IF2006.CFE,4088,58,71134920,28492.68182,2020/2/27 9:53,4104.58,4106.19,-15.712,16.58
12024,2020/2/27 9:54,IF2006.CFE,4087.6,54,66202740,28474.32258,2020/2/27 9:54,4101.02,4102.8,-14.058,13.42
12025,2020/2/27 9:55,IF2006.CFE,4085,68,83295000,28444.36937,2020/2/27 9:55,4099.18,4100.1,-14.362,14.18
12026,2020/2/27 9:56,IF2006.CFE,4082,64,78469140,28404.11321,2020/2/27 9:56,4095.71,4097.445,-15.982,13.71
12027,2020/2/27 9:57,IF2006.CFE,4086.6,37,45372280,28376.01316,2020/2/27 9:57,4096.32,4096.015,-10.234,9.72
12028,2020/2/27 9:58,IF2006.CFE,4085.8,30,36753720,28366.93407,2020/2/27 9:58,4097.68,4097,-9.61,11.88
12029,2020/2/27 9:59,IF2006.CFE,4083,61,74700900,28334.51456,2020/2/27 9:59,4095.28,4096.48,-10.938,12.28
12030,2020/2/27 10:00,IF2006.CFE,4081.2,92,112591720,28295.86726,2020/2/27 10:00,4092.06,4093.67,-11.458,10.86
12031,2020/2/27 10:01,IF2006.CFE,4078.4,77,94286100,28243.66337,2020/2/27 10:01,4088.35,4090.205,-12.996,9.95
12032,2020/2/27 10:02,IF2006.CFE,4082,45,55109100,28208.70588,2020/2/27 10:02,4089.92,4089.135,-7.864,7.92
12033,2020/2/27 10:03,IF2006.CFE,4080,47,57508440,28188.14,2020/2/27 10:03,4091.37,4090.645,-8.234,11.37
12034,2020/2/27 10:04,IF2006.CFE,4077.4,58,70942740,28168.27103,2020/2/27 10:04,4087.62,4089.495,-8.98,10.22
12035,2020/2/27 10:05,IF2006.CFE,4075,59,72075960,28140.67308,2020/2/27 10:05,4083.91,4085.765,-9.35,8.91
12036,2020/2/27 10:06,IF2006.CFE,4070.8,87,106347420,28115.82524,2020/2/27 10:06,4079.08,4081.495,-11.152,8.28
12037,2020/2/27 10:07,IF2006.CFE,4072,102,124566040,28093.46296,2020/2/27 10:07,4079.77,4079.425,-8.142,7.77
12038,2020/2/27 10:08,IF2006.CFE,4070,75,91653120,28059.07018,2020/2/27 10:08,4079.38,4079.575,-9.086,9.38
12039,2020/2/27 10:09,IF2006.CFE,4075,90,109984740,28008.46847,2020/2/27 10:09,4078.57,4078.975,-2.926,3.57
12040,2020/2/27 10:10,IF2006.CFE,4072.2,115,140369940,27971.89908,2020/2/27 10:10,4078.63,4078.6,-3.77,6.43
12041,2020/2/27 10:11,IF2006.CFE,4067.6,72,87833460,27929.64348,2020/2/27 10:11,4073.28,4075.955,-6.304,5.68
12042,2020/2/27 10:12,IF2006.CFE,4063.2,97,118303500,27904.50459,2020/2/27 10:12,4069.99,4071.635,-9.308,6.79
12043,2020/2/27 10:13,IF2006.CFE,4066.6,119,145239600,27884.84211,2020/2/27 10:13,4069.05,4069.52,-5.62,2.45
12044,2020/2/27 10:14,IF2006.CFE,4070,41,50071860,27871.46602,2020/2/27 10:14,4071.59,4070.32,-3.184,1.59
12045,2020/2/27 10:15,IF2006.CFE,4072,48,58613280,27870.75472,2020/2/27 10:15,4077.19,4074.39,-3.142,5.19
12046,2020/2/27 10:16,IF2006.CFE,4072.6,42,51321480,27857.40196,2020/2/27 10:16,4078.1,4077.645,-5.806,5.5
12047,2020/2/27 10:17,IF2006.CFE,4075.4,21,25678320,27849.98876,2020/2/27 10:17,4079.78,4078.94,-6.028,4.38
12048,2020/2/27 10:18,IF2006.CFE,4076,184,225023720,27870.39583,2020/2/27 10:18,4085.37,4082.575,-7.164,9.37
12049,2020/2/27 10:19,IF2006.CFE,4074.4,28,34230240,27901.52688,2020/2/27 10:19,4086.7,4086.035,-10.804,12.3
12050,2020/2/27 10:20,IF2006.CFE,4075.6,204,249714320,27920.00952,2020/2/27 10:20,4085.87,4086.285,-12.002,10.27
12051,2020/2/27 10:21,IF2006.CFE,4083.2,180,220567380,27951.9009,2020/2/27 10:21,4088.3,4087.085,-5.89,5.1
12052,2020/2/27 10:22,IF2006.CFE,4086,49,60032560,27966.08333,2020/2/27 10:22,4091.77,4090.035,-4.288,5.77
12053,2020/2/27 10:23,IF2006.CFE,4083.6,37,45318420,27963.91429,2020/2/27 10:23,4092.81,4092.29,-7.632,9.21
12054,2020/2/27 10:24,IF2006.CFE,4081.4,30,36717180,27964.02105,2020/2/27 10:24,4092.69,4092.75,-9.504,11.29
12055,2020/2/27 10:25,IF2006.CFE,4078.6,20,24470400,27959.5,2020/2/27 10:25,4090.59,4091.64,-10.84,11.99
12056,2020/2/27 10:26,IF2006.CFE,4078.4,33,40360400,27960.37624,2020/2/27 10:26,4086.66,4088.625,-9.452,8.26
12057,2020/2/27 10:27,IF2006.CFE,4075.4,34,41594340,27963.1068,2020/2/27 10:27,4084.45,4085.555,-11.248,9.05
12058,2020/2/27 10:28,IF2006.CFE,4080.2,28,34257420,27963.72727,2020/2/27 10:28,4084.87,4084.66,-5.194,4.67
12059,2020/2/27 10:29,IF2006.CFE,4077.6,59,72075820,27956.56842,2020/2/27 10:29,4086.67,4085.77,-6.678,9.07
12060,2020/2/27 10:30,IF2006.CFE,4071,49,59832300,27935.43396,2020/2/27 10:30,4084.32,4085.495,-12.346,13.32
12061,2020/2/27 10:31,IF2006.CFE,4067,43,52513920,27930.0625,2020/2/27 10:31,4081.08,4082.7,-15.966,14.08
12062,2020/2/27 10:32,IF2006.CFE,4074.2,40,48895440,27932.37374,2020/2/27 10:32,4079.79,4080.435,-8.522,5.59
12063,2020/2/27 10:33,IF2006.CFE,4078.4,11,13454340,27937.96552,2020/2/27 10:33,4082.97,4081.38,-4.65,4.57
12064,2020/2/27 10:34,IF2006.CFE,4077,12,14680380,27942.64634,2020/2/27 10:34,4085.45,4084.21,-7.526,8.45
12065,2020/2/27 10:35,IF2006.CFE,4078.2,39,47742180,27937.64211,2020/2/27 10:35,4085.96,4085.705,-8.61,7.76
12066,2020/2/27 10:36,IF2006.CFE,4081.6,36,44085580,27930.96512,2020/2/27 10:36,4088.46,4087.21,-7.472,6.86
12067,2020/2/27 10:37,IF2006.CFE,4083.8,68,83345520,27915.21739,2020/2/27 10:37,4091.21,4089.835,-7.184,7.41
12068,2020/2/27 10:38,IF2006.CFE,4086,66,80884460,27880.79,2020/2/27 10:38,4094.28,4092.745,-6.768,8.28
12069,2020/2/27 10:39,IF2006.CFE,4084.6,135,165485040,27850.18681,2020/2/27 10:39,4095.01,4094.645,-9.55,10.41
12070,2020/2/27 10:40,IF2006.CFE,4087,44,53949780,27821.02439,2020/2/27 10:40,4094.88,4094.945,-8.088,7.88
12071,2020/2/27 10:41,IF2006.CFE,4088.4,41,50276100,27799.98795,2020/2/27 10:41,4095.37,4095.125,-7.024,6.97
12072,2020/2/27 10:42,IF2006.CFE,4087.8,17,20840040,27794.63158,2020/2/27 10:42,4095.9,4095.635,-7.34,8.1
12073,2020/2/27 10:43,IF2006.CFE,4086.4,68,83311920,27791.53,2020/2/27 10:43,4095.96,4095.93,-8.134,9.56
12074,2020/2/27 10:44,IF2006.CFE,4082.6,29,35496660,27774.29545,2020/2/27 10:44,4093.59,4094.775,-10.964,10.99
12075,2020/2/27 10:45,IF2006.CFE,4079.4,39,47734140,27767.57609,2020/2/27 10:45,4091.85,4092.72,-13.31,12.45
12076,2020/2/27 10:46,IF2006.CFE,4080,87,106573840,27752.39604,2020/2/27 10:46,4090.52,4091.185,-11.646,10.52
12077,2020/2/27 10:47,IF2006.CFE,4079.2,45,55037040,27741.62376,2020/2/27 10:47,4091.63,4091.075,-11.5,12.43
12078,2020/2/27 10:48,IF2006.CFE,4075.2,27,33013260,27739.39024,2020/2/27 10:48,4090.64,4091.135,-14.624,15.44
12079,2020/2/27 10:49,IF2006.CFE,4075.8,62,75791100,27747.32,2020/2/27 10:49,4088.86,4089.75,-14.084,13.06
12080,2020/2/27 10:50,IF2006.CFE,4076.4,40,48952260,27758.17308,2020/2/27 10:50,4087.47,4088.165,-13.8,11.07
12081,2020/2/27 10:51,IF2006.CFE,4080.2,14,17135880,27766.47368,2020/2/27 10:51,4090.82,4089.145,-10.296,10.62
12082,2020/2/27 10:52,IF2006.CFE,4080,19,23240400,27768.67105,2020/2/27 10:52,4093.21,4092.015,-10.416,13.21
12083,2020/2/27 10:53,IF2006.CFE,4075.2,18,21994260,27767.70103,2020/2/27 10:53,4092.12,4092.665,-15.464,16.92
12084,2020/2/27 10:54,IF2006.CFE,4073,14,17119620,27768.07921,2020/2/27 10:54,4088.46,4090.29,-17.492,15.46
12085,2020/2/27 10:55,IF2006.CFE,4078,12,14674320,27771.18824,2020/2/27 10:55,4088.71,4088.585,-11.636,10.71
12086,2020/2/27 10:56,IF2006.CFE,4075,27,33005100,27774.95283,2020/2/27 10:56,4089.96,4089.335,-14.188,14.96
12087,2020/2/27 10:57,IF2006.CFE,4074.4,33,40355940,27781.20202,2020/2/27 10:57,4088.93,4089.445,-14.988,14.53
12088,2020/2/27 10:58,IF2006.CFE,4077.6,38,46451100,27779.65217,2020/2/27 10:58,4089.88,4089.405,-12.12,12.28
12089,2020/2/27 10:59,IF2006.CFE,4073,8,9779220,27768.6,2020/2/27 10:59,4089.46,4089.67,-15.654,16.46
12090,2020/2/27 11:00,IF2006.CFE,4073.6,66,80569720,27755.31,2020/2/27 11:00,4090.37,4089.915,-13.918,16.77
