,datetime,code,open,volume,amt,open_interest,index,index_smooth
3929,2020/1/2 10:59,IF2006.CFE,4194,11,13844520,13918.66667,4162.17,4146.451046
3930,2020/1/2 11:00,IF2006.CFE,4195.6,6,7552860,13922.62745,4163.06,4146.691172
3931,2020/1/2 11:01,IF2006.CFE,4197,21,26449200,13927.60714,4163.3,4146.933305
3932,2020/1/2 11:02,IF2006.CFE,4197.8,13,16373100,13937.57143,4164.53,4147.182929
3933,2020/1/2 11:03,IF2006.CFE,4200,13,16374600,13946.35135,4165.58,4147.436987
3934,2020/1/2 11:04,IF2006.CFE,4198.2,7,8815560,13948.77143,4164.68,4147.694184
3935,2020/1/2 11:05,IF2006.CFE,4193.8,6,7547280,13952.07463,4164.39,4147.944226
3936,2020/1/2 11:06,IF2006.CFE,4192.8,16,20123280,13956.31522,4161.91,4148.193473
3937,2020/1/2 11:07,IF2006.CFE,4191.2,10,12577080,13965.85714,4161.85,4148.445314
3938,2020/1/2 11:08,IF2006.CFE,4193.2,2,2515680,13971.94545,4161.52,4148.696987
3939,2020/1/2 11:09,IF2006.CFE,4192.8,7,8806320,13974.15385,4160.63,4148.95159
3940,2020/1/2 11:10,IF2006.CFE,4195.2,11,13849200,13982.4697,4160.61,4149.212887
3941,2020/1/2 11:11,IF2006.CFE,4197.8,7,8815920,13986.58696,4162.49,4149.472929
3942,2020/1/2 11:12,IF2006.CFE,4198,17,21415260,13994.9434,4164.13,4149.726402
3943,2020/1/2 11:13,IF2006.CFE,4198.8,2,2519460,14003,4165.36,4149.973264
3944,2020/1/2 11:14,IF2006.CFE,4198,12,15111000,14008.06154,4165.75,4150.211464
3945,2020/1/2 11:15,IF2006.CFE,4198.4,3,3778200,14013,4165.43,4150.453808
3946,2020/1/2 11:16,IF2006.CFE,4198,8,10071060,14015.9434,4166.24,4150.697029
3947,2020/1/2 11:17,IF2006.CFE,4195.2,4,5035140,14015.57971,4166.27,4150.938368
3948,2020/1/2 11:18,IF2006.CFE,4196,8,10071240,14018.35294,4166.39,4151.178494
3949,2020/1/2 11:19,IF2006.CFE,4196,5,6295860,14020.48,4166.92,4151.41159
3950,2020/1/2 11:20,IF2006.CFE,4196.8,10,12585960,14022.71154,4167.42,4151.645858
3951,2020/1/2 11:21,IF2006.CFE,4194.8,10,12577020,14032.2,4166.71,4151.879874
3952,2020/1/2 11:22,IF2006.CFE,4189,10,12567240,14040.04762,4162.55,4152.112887
3953,2020/1/2 11:23,IF2006.CFE,4189.6,16,20091060,14051.21212,4162.29,4152.345858
3954,2020/1/2 11:24,IF2006.CFE,4183.8,17,21334980,14059.17045,4159.95,4152.576151
3955,2020/1/2 11:25,IF2006.CFE,4182.6,19,23842320,14070.19672,4158.37,4152.806904
3956,2020/1/2 11:26,IF2006.CFE,4183.8,71,89100360,14104.77419,4157.42,4153.036151
3957,2020/1/2 11:27,IF2006.CFE,4183,30,37636500,14139.50526,4155.63,4153.266025
3958,2020/1/2 11:28,IF2006.CFE,4182.8,16,20080080,14148.86765,4154.51,4153.496695
3959,2020/1/2 11:29,IF2006.CFE,4182.6,10,12548820,14157.06897,4154.59,4153.624979
3960,2020/1/2 13:00,IF2006.CFE,4183.2,15,18834060,14166.25455,4154.11,4153.772092
