datetime,IF2012,IF2009,spread,index
2020/7/3 10:12,4330.8,4338.6,-7.8,4386.13
2020/7/3 10:13,4328.2,4335.2,-7.0,4378.7
2020/7/3 10:14,4324.6,4332.4,-7.8,4378.7
2020/7/3 10:15,4329.6,4338.6,-9.0,4378.7
2020/7/3 10:16,4330.8,4339.0,-8.2,4376.4
2020/7/3 10:17,4331.4,4338.0,-6.6,4377.92
2020/7/3 10:18,4330.4,4338.4,-8.0,4381.13
2020/7/3 10:19,4334.2,4341.2,-7.0,4381.13
2020/7/3 10:20,4333.8,4338.4,-4.6,4382.15
2020/7/3 10:21,4329.4,4337.6,-8.2,4382.26
2020/7/3 10:22,4332.4,4339.2,-6.8,4382.26
2020/7/3 10:23,4332.2,4337.6,-5.4,4382.26
2020/7/3 10:24,4325.0,4332.6,-7.6,4380.89
2020/7/3 10:25,4322.6,4330.0,-7.4,4380.89
2020/7/3 10:26,4319.8,4326.6,-6.8,4380.89
2020/7/3 10:27,4320.0,4328.8,-8.8,4380.89
2020/7/3 10:28,4316.6,4324.2,-7.6,4365.75
2020/7/3 10:29,4314.0,4321.8,-7.8,4366.41
2020/7/3 10:30,4314.2,4324.8,-10.6,4363.92
2020/7/3 10:31,4314.8,4325.8,-11.0,4363.92
2020/7/3 10:32,4323.0,4331.8,-8.8,4360.67
2020/7/3 10:33,4319.8,4328.2,-8.4,4360.67
2020/7/3 10:34,4319.0,4327.8,-8.8,4360.67
2020/7/3 10:35,4320.0,4328.6,-8.6,4367.53
2020/7/3 10:36,4325.8,4333.4,-7.6,4367.83
2020/7/3 10:37,4321.6,4329.2,-7.6,4367.83
2020/7/3 10:38,4319.0,4328.0,-9.0,4372.71
2020/7/3 10:39,4320.8,4329.6,-8.8,4372.33
2020/7/3 10:40,4319.4,4330.2,-10.8,4370.83
2020/7/3 10:41,4315.8,4326.4,-10.6,4371.52
2020/7/3 10:42,4311.4,4323.2,-11.8,4371.81
2020/7/3 10:43,4312.8,4325.2,-12.4,4368.09
2020/7/3 10:44,4306.8,4321.0,-14.2,4367.35
2020/7/3 10:45,4311.0,4323.6,-12.6,4366.56
2020/7/3 10:46,4307.0,4320.2,-13.2,4367.31
2020/7/3 10:47,4300.4,4315.4,-15.0,4367.14
2020/7/3 10:48,4296.2,4309.0,-12.8,4366.57
2020/7/3 10:49,4300.2,4312.2,-12.0,4360.53
2020/7/3 10:50,4303.2,4317.6,-14.4,4359.16
2020/7/3 10:51,4307.6,4320.6,-13.0,4359.16
2020/7/3 10:52,4304.4,4318.2,-13.8,4366.97
2020/7/3 10:53,4304.2,4319.4,-15.2,4367.68
2020/7/3 10:54,4304.4,4317.8,-13.4,4367.49
2020/7/3 10:55,4299.8,4312.4,-12.6,4366.87
2020/7/3 10:56,4296.6,4309.2,-12.6,4364.64
2020/7/3 10:57,4290.8,4305.0,-14.2,4360.03
2020/7/3 10:58,4279.4,4297.4,-18.0,4358.18
2020/7/3 10:59,4283.8,4301.8,-18.0,4350.66
2020/7/3 11:00,4288.8,4307.2,-18.4,4348.69
2020/7/3 11:01,4289.6,4307.8,-18.2,4353.53
2020/7/3 11:02,4290.8,4307.2,-16.4,4359.71
2020/7/3 11:03,4287.6,4305.2,-17.6,4361.31
2020/7/3 11:04,4289.0,4309.0,-20.0,4360.67
2020/7/3 11:05,4290.4,4309.4,-19.0,4360.79
2020/7/3 11:06,4294.6,4315.6,-21.0,4363.67
2020/7/3 11:07,4293.2,4312.6,-19.4,4366.46
2020/7/3 11:08,4294.0,4313.6,-19.6,4368.26
2020/7/3 11:09,4292.2,4315.2,-23.0,4369.7
2020/7/3 11:10,4294.6,4316.0,-21.4,4369.3
2020/7/3 11:11,4291.6,4310.0,-18.4,4371.64
2020/7/3 11:12,4294.0,4314.4,-20.4,4369.69
2020/7/3 11:13,4290.0,4309.6,-19.6,4368.62
2020/7/3 11:14,4290.4,4309.0,-18.6,4367.1
2020/7/3 11:15,4292.0,4312.0,-20.0,4366.39
2020/7/3 11:16,4291.8,4311.8,-20.0,4364.44
2020/7/3 11:17,4280.0,4300.4,-20.4,4366.12
2020/7/3 11:18,4276.0,4297.8,-21.8,4361.79
2020/7/3 11:19,4279.0,4300.4,-21.4,4355.07
2020/7/3 11:20,4281.2,4302.4,-21.2,4354.62
2020/7/3 11:21,4283.6,4308.6,-25.0,4355.5
2020/7/3 11:22,4284.0,4307.2,-23.2,4358.3
2020/7/3 11:23,4285.6,4306.0,-20.4,4359.74
2020/7/3 11:24,4293.0,4314.0,-21.0,4359.39
2020/7/3 11:25,4290.2,4312.8,-22.6,4364.63
2020/7/3 11:26,4293.2,4313.2,-20.0,4365.53
2020/7/3 11:27,4295.6,4317.6,-22.0,4365.65
2020/7/3 11:28,4298.0,4319.2,-21.2,4366.91
2020/7/3 11:29,4296.2,4317.6,-21.4,4369.24
2020/7/3 13:00,4297.2,4313.0,-15.8,4369.64
2020/7/3 13:01,4293.0,4312.4,-19.4,4371.51
2020/7/3 13:02,4292.8,4311.6,-18.8,4366.28
2020/7/3 13:03,4298.2,4317.8,-19.6,4366.5
2020/7/3 13:04,4296.0,4316.2,-20.2,4369.35
2020/7/3 13:05,4295.0,4316.0,-21.0,4368.33
2020/7/3 13:06,4292.0,4310.8,-18.8,4367.74
2020/7/3 13:07,4292.8,4311.6,-18.8,4364.85
2020/7/3 13:08,4287.6,4307.2,-19.6,4364.63
2020/7/3 13:09,4289.6,4309.2,-19.6,4363.62
2020/7/3 13:10,4288.6,4308.2,-19.6,4361.84
2020/7/3 13:11,4282.6,4301.8,-19.2,4362.06
2020/7/3 13:12,4284.2,4302.0,-17.8,4359.36
2020/7/3 13:13,4287.6,4306.8,-19.2,4356.57
2020/7/3 13:14,4288.6,4306.2,-17.6,4357.51
2020/7/3 13:15,4283.0,4302.0,-19.0,4358.52
2020/7/3 13:16,4291.0,4308.0,-17.0,4357.35
2020/7/3 13:17,4293.2,4311.8,-18.6,4357.73
2020/7/3 13:18,4295.0,4312.8,-17.8,4363.81
2020/7/3 13:19,4297.4,4313.0,-15.6,4365.45
2020/7/3 13:20,4293.0,4311.0,-18.0,4366.17
2020/7/3 13:21,4294.4,4312.0,-17.6,4366.24
2020/7/3 13:22,4295.6,4315.4,-19.8,4365.95
2020/7/3 13:23,4297.0,4314.8,-17.8,4368.54
2020/7/3 13:24,4293.4,4313.4,-20.0,4369.95
