,index,datetime,IF2103,IF2012,spread,avg3,avg5,gap,grid,hold,service,bag,revenue,account,,,,,,,
125,1325,05:00.0,4595,4646.8,-51.8,-63.16338419,-62.52089925,11.36338419,3,-1,0,0,-0.2,-73.0676,,,,,,,
126,1326,06:00.0,4596.6,4647,-50.4,-63.14202497,-62.51207327,12.74202497,3,-1,0,0,-1.6,-74.4676,,,,,,,
127,1327,07:00.0,4598.8,4649.8,-51,-63.12122053,-62.50457952,12.12122053,3,-1,0,0,-1,-73.8676,,,,,,,
128,1328,08:00.0,4598.6,4649.4,-50.8,-63.0998613,-62.49725229,12.2998613,3,-1,0,0,-1.2,-74.0676,,,,,,,
129,1329,09:00.0,4598.6,4649.2,-50.6,-63.07905687,-62.49025812,12.47905687,3,-1,0,0,-1.4,-74.2676,,,,,,,
130,1330,10:00.0,4596.8,4648.2,-51.4,-63.05852982,-62.48509575,11.65852982,3,-1,0,0,-0.6,-73.4676,,,,,,,
131,1331,11:00.0,4592.6,4644.8,-52.2,-63.03800277,-62.47926728,10.83800277,3,-1,0,0,0.2,-72.6676,,,,,,,
132,1332,12:00.0,4594.6,4645.6,-51,-63.01608877,-62.47277269,12.01608877,3,-1,0,0,-1,-73.8676,,,,,,,
133,1333,13:00.0,4595,4645.2,-50.2,-62.99583911,-62.46544546,12.79583911,3,-1,0,0,-1.8,-74.6676,,,,,,,
134,1334,14:00.0,4590,4641,-51,-62.97503467,-62.46094921,11.97503467,3,-1,0,0,-1,-73.8676,,,,,,,
135,1335,15:00.0,4590,4641.4,-51.4,-62.95339806,-62.45528726,11.55339806,3,-1,0,0,-0.6,-73.4676,,,,,,,
136,1336,16:00.0,4589.2,4640,-50.8,-62.93370319,-62.44845962,12.13370319,3,-1,0,0,-1.2,-74.0676,,,,,,,
137,1337,17:00.0,4590,4643.4,-53.4,-62.91622746,-62.44446295,9.516227462,3,-1,0,0,1.4,-71.4676,,,,,,,
138,1338,18:00.0,4589.8,4641,-51.2,-62.89542302,-62.43813489,11.69542302,3,-1,0,0,-0.8,-73.6676,,,,,,,
